Datetime,Tweet Id,Text,Username
2020-06-29 03:34:17+00:00,1277445257290936320,"@collegemenfess Penelitian dari mana ini? Mahasiswa mana yg di teliti? Gue daring yg ada males malesan, udah tau uas malemnya malah mabar ampe jam 5 pagi saking gataunya mau belajar apa alias gamasuk ke otak gue apa yg diajarin dosen",hellooooqueen
2020-06-29 03:17:25+00:00,1277441010289840129,Bupati Gowa Putuskan Belajar Daring Dilanjutkan di Tahun Ajaran Baru https://t.co/5EpcZh3LaF,kabargowa
2020-06-29 02:47:07+00:00,1277433386475196419,"@collegemenfess Belajar daring bertaun-taun kemudian : Loh, aku kok ditinggalin?
Mahasiswa : Maaf, kamu terlalu baik buat kita.
Belajar offline : PUNTEN SLUURRR🤘

SUMPAH KGN BGT BELAJAR OFFLINE WALAU RIWEH😭😭",nocturnhumaan
2020-06-29 02:46:44+00:00,1277433290744492032,Waktu sidang MK pas pilpres 2019 katanya ada yang bilang di kampung bisa mengakses dunia. Sekarang nyatanya orang kampung mau belajar via online (pembelajaran daring) malah kesulitan akses internet. 🤡🤡🤡🤡🤷‍♂️🤷‍♂️🤷‍♂️🤷‍♂️,iamdimasngr
2020-06-29 02:42:41+00:00,1277432271004303360,"lebih baik hm🙃🙃
Selama daring gw pernah salah ngomong ke dosbing sekali, and guess what i got? Dosbing gw malah ngomingin gw sama dosen lainnya di kampus. Apakah itu yg diblg ""lebih baik"". Dan selama daring ilmu yg di dapet jg ga sebanding klo belajar dr kampus https://t.co/tjT0gD2I2y",fairymochii
2020-06-29 02:42:22+00:00,1277432192344317952,"Asalkan dosen sama mahasiswa udah adaptasi dan benar ngajarnya pas kondisi belajar daring mah. Asik aja..
Gausah perlu terus terus ke kampus. https://t.co/WAq4fDruqA",Pattarre1
2020-06-29 02:36:55+00:00,1277430818130939904,@BerdikariBook Mandi air panas pagi2 ingetnya mau jalan ke kampus. Taunya masih belajar daring :(,microsmos12
2020-06-29 02:25:06+00:00,1277427845975863296,"Ketekunan Gill menggunakan platform belajar secara daring dengan baik dan efektif telah mengantarnya berhasil menjawab 196 soal perkalian dan pembagian hanya dalam hitungan satu menit. 

#Internasional #Kompas55 
https://t.co/KERDnLat2r",hariankompas
2020-06-29 02:22:20+00:00,1277427149671104514,"Tahun Ajaran Baru, Pemkab Gowa Putuskan Aktivitas Belajar Daring https://t.co/fIsPmzQJiA",kabargowa
2020-06-29 02:11:17+00:00,1277424369178783744,"Saya akui sih bisa lebih fleksibel belajar maupun ujiannya, nilainya juga bisa lebih baik, ipk bisa naik. Tapi ya itu, kalau daring akan banyak merindu https://t.co/e24aUM6dGa",masiik_rizkio
2020-06-29 02:03:53+00:00,1277422505314017280,"@collegemenfess nilai pembelajaran daring ku lebih baik dr belajar di kampus, karena diriku selama kulon copas doang kerjaannya bwahahaha",viabct
2020-06-29 01:59:07+00:00,1277421307336863745,@collegemenfess ak gatau kuliah daring belajar apaan alias ak makin goblok,XweetHurt
2020-06-29 01:46:10+00:00,1277418048098451456,"@subtanyarl yeu brengsek, slama belajar daring gua gadapet apa apa kcuali kj soal☺️",dingthebayk
2020-06-29 01:24:10+00:00,1277412511294222336,"@collegemenfess kampus gue ga ada kelas daring ajg, tugas daring yg byk...
sm aj kek otodidak belajar semester ini, bgsd...
mana ttp byr lg...",zwittsalbby
2020-06-29 01:12:47+00:00,1277409648551751683,"@collegemenfess Ngaco bgt si bapak mahh, trus ntar ak belajar infus nya daring juga dikata lebih baek gt pak😭",cendygtaamanda
2020-06-29 00:55:05+00:00,1277405190904115202,"Look at those salty btxchs
Daring emg jauh lebih baik di kondisi kaya sekarang. 
Jujur gue emg ngerasa bego bgt, but beberapa temen gue tetep aja tuh ada yang pinter dan paham materi, which means emg metode belajar daring gue sendirinya aja yg salah. https://t.co/k5ZEWFWt1R",herlinaamalia
2020-06-29 00:43:06+00:00,1277402174545252352,@collegemenfess Gk suka kuliah daring asli. Gua bukan meremehkan temen gua ya. Tapi kasian yang emang bener2 belajar dan gak searching gugel buat jawab soal ujian kalah nilainya sama mereka2 yang searching. Padahal kalo dikuliahan nilainya biasa2 aja bisa jadi melejit banget,bielbiey
2020-06-29 00:10:17+00:00,1277393917252521984,"Telah terbit Majalah SMA edisi 6 tahun 2020 bertema Belajar dari Rumah.Pandemi COVID-19 mengubah byk hal.Termasuk dunia pendidikan. Demi keselamatan,proses belajar mengajar dilakukan secara daring. 
Majalah dapat diunduh pada: 
https://t.co/quXUU2Lh9p
atau
https://t.co/fvTozneYAw https://t.co/UxbZs08wgq",perpusdikbud
2020-06-29 00:08:16+00:00,1277393410232430592,@Asknonym Enggaaaa apalagi serba daring gini belajar,atuhlahih
2020-06-29 00:00:27+00:00,1277391445263974403,Sisi positif dari kuliah daring yg gua temuin cuma gua gaperlu macet macetan di margonda doang. Sisanya mah mendingan belajar langsung tai,adolphmatherss
2020-06-28 23:17:01+00:00,1277380513909493760,"Tak ada yang salah dengan itu sebenarnya, hanya saja perlu digaris-bawahi jika hal ini membuat kuliah daring tak efektif. Kita terbiasa belajar karena terpaksa, bukan belajar karena ingin tahu atau passionate. Hal ini menjadikan pertemuan hanya sebagai ajang formalitas kehidupan.",LizaFaitho
2020-06-28 23:11:37+00:00,1277379153029783553,"@detikcom Hanya sebatas seminar, itupun online
Sementara masyarakat para orangtua murid harus mengeluarkan biaya pendidikan yang semakin mahal karena SPP/UKT tetep mahal dgn sgl biaya kegiatan yg TIDAK DILAKSANKAN ditambah biaya sarana belajar daring.",duda_widodo
2020-06-28 17:09:36+00:00,1277288049823510528,"@bukantehrio Iya.. sambil belajar juga. Lagian aku mau urus anak-anak dulu, mereka kan sekolahnya daring jadi harus pengawasan aku juga.",rayusenja
2020-06-28 15:47:05+00:00,1277267284008951808,"Sekarang kuliah di manapun jurusan apapun tidak dapat halangi kita untuk belajar lebih dari itu, manusia bukan lagi objek yang tersekat, jadi kalau saudara merasa sekolah atau kuliah cuma itu itu aja coba ikut wadah daring semua bisa di manapun.",utomo_wijoyo
2020-06-28 15:11:37+00:00,1277258359846998016,"kalo belajar daring begini rasanya lebih nyaman buat nanya2. karena video bisa diulang2, diresapi, baru biasanya muncul pertanyaan. kalo belajar langsung baru mau nanya, eh, udah lanjut ke bab selanjutnya....😅 https://t.co/qfBE3tlJsK",juragandes
2020-06-28 15:05:44+00:00,1277256875734491139,@Chimmyna_jimin 13 Juli mulai belajar daring,jeonynd
2020-06-28 15:04:47+00:00,1277256638219472897,@Chimmyna_jimin 13juli belajar daring lgi Kalou belajar disekolah kata walas ku Januari 2021,beibiJINNie
2020-06-28 14:38:44+00:00,1277250084309045248,"Untuk adik-adik yang duduk di bangku sekolah, manfaat dengan baik waktu dirumah untuk belajar yang benar dan dapatkan ilmu baru di lingkungan keluarga dan secara daring. Untuk kawan-kawan yang harus bekerja mencari nafkah diluar, mohon untuk menjaga diri,",sepdum
2020-06-28 14:28:32+00:00,1277247514781945861,"@hitlichtori Ya walaupun disamping hal hal negatif ""ujian daring"" tapi dinilai lebih elok, buat menghargai perjuangan belajar sampai sejauh ini, ketimbang seleksi nilai rapor+prestasi.",Shlfzy_
2020-06-28 13:53:34+00:00,1277238715249614848,"Yuk belajar melalui daring ✅ 
#speakingclass #publicspeaking #publicspeakingcourse #speak #atensico #DigitalMarketing #seminaronline https://t.co/nTivcFXcvQ",SpeakingSmg
2020-06-28 13:30:26+00:00,1277232892360273921,"@sbmptnfess Aku, sih, maksimal 4 jam. Itu pun bersumber dari uji coba-uji coba di platform daring. Jam belajar itu sesuai kemampuan, Nder. Kalau capai, jangan dipaksa. Okay?",xoxobgs
2020-06-28 12:28:19+00:00,1277217262856892416,"Proses Belajar Mengajar Berlanjut, Diskominfo Kukar Gagas Pembelajaran Daring di Tengah Covid-19 https://t.co/22U6dLbYga via @tribunkaltim",Desmawangga
2020-06-28 12:27:14+00:00,1277216989845393409,"Di minggu 1, kelas daring ini fokus pada memperkenalkan kemampuan yang super kompleks dan krusial untuk dikuasai anak usia dini ketika belajar membaca. Istilah-istilah seperti fonem, fonik, fonetik dikupas tuntas.",marlangen_
2020-06-28 12:22:57+00:00,1277215913201172480,"Hari ini menyelesaikan kelas daring singkat berjudul 'Teaching Phonics in Early Childhood', gratististis dari Queensland University of Technology (QUT). Singkat banget cuma 2 kali pertemuan, tapi lumayan menjelaskan betapa kompleksnya belajar membaca 🤓 https://t.co/v0HgJVmKgt",marlangen_
2020-06-28 12:19:30+00:00,1277215042274910208,"Bagaimana Merdeka Belajar mewakili makna kata ""merdeka"" dengan kerja sama Kemendikbud–Netflix di tengah segala permasalahan pelaksanaan pembelajaran daring?

https://t.co/ujdAOhAwNo",DhianDharti
2020-06-28 11:27:52+00:00,1277202050363748353,"pertemuan pertama dengan mahasiswa, biasanya sy
1. Jika ada mahasiswa yg membawa novel di dalam kelas maka nilainya tuntas 
2. Jika ada mahasiswa yang punya 10 novel dengan judul yg berbeda, maka sy akan berikan 2 buku lagi (ini saat belajar daring)",rumahaksara
2020-06-28 11:26:17+00:00,1277201652747890688,"@byalenciaga @SIMAK_UI Udaah, Iklasin. kalo emang daring, fokus belajar",adnistoria
2020-06-28 11:03:54+00:00,1277196016832229376,"@Shofyan_SOM @DistanbunJateng @SBanendro @kusrini_nuri bahan yg digunakan cukup mudah dan murah, kami persilahkan untuk belajar bersama di Bapeltan, karena ada beberapa tahapan yg belum memungkinkan jika diberikan secara daring, dan satu hal lur..pelayanan konsultasi gratis kok..",Bapeltan_Jtg
2020-06-28 10:51:40+00:00,1277192937990787074,"Kriteria relawan yang dapat mendaftar adalah:
1. Minimum S-1 Keguruan dan Pendidikan
2. Memahami kurikulum pendidikan
3. Dapat berkomunikasi dengan baik
4. Berkomitmen mendampingi anak-anak belajar daring",Indorelawan
2020-06-28 10:35:03+00:00,1277188757297303552,"Belajar Daring, Efektifkah untuk Siswa SD? https://t.co/RWpdUmam6q",kompasiana
2020-06-28 09:17:49+00:00,1277169321739816960,"@rchmdv @collegemenfess sebetulnya daring enak, tapi ga sukanya karena vibes belajar itu kurang.",ikbened_
2020-06-28 09:05:59+00:00,1277166341397426176,"Belajar daring 
Tapi panggilan ke bk,  tatap muka.  

#IndonesiaDaruratHumor",sabarbangettt
2020-06-28 08:26:11+00:00,1277156327375110144,Belajar Siswa Tetap Sistem Daring Di Masa Pedemi Covid-19 https://t.co/MbbNgEf2v5,Dumaiposnews
2020-06-28 08:15:24+00:00,1277153615031922689,"UPOS, Bone– Menghadapi situasi pandemic Covid-19 yang masih berlangsung dan mencermati arah kurikulum merdeka belajar, pembelajaran daring akan menjadi aktifitas utama proses belajar mengajar selama satu tahun ke depan. https://t.co/pvafdLb0rw",ujungpandangpo1
2020-06-28 08:15:23+00:00,1277153607846998017,"Tiser, kabar dari Kemendikbud, bahwa pembelajaran daring diperpanjang, meski sudah masuk masa new normal, @VincentiusK_ dan @mcfluury kangen bnget pengen kuliah, kalo Tiser kangen ngga sih belajar offline dan ketemu teman-teman ?  https://t.co/iNGOoNT3Ky #TalkActive #TWEETO https://t.co/f6xq9CBjTS",mmtcradiojogja
2020-06-28 07:14:21+00:00,1277138251430670336,"Waw Proses Belajar Mengajar Berlanjut, Diskominfo Kukar Gagas Pembelajaran Daring di Tengah Covid-19 https://t.co/e58Xewr2NF #Samarinda #menujupilwali2020 #kalimantantimur #bontang #sangatta #bulungan #malinau #kukar #balikpapan #penajam #ppu #ibukotabaru",reportaseSMR
2020-06-28 07:10:03+00:00,1277137168918474754,"@hrdbacot Buka referensi lowongan kerja, bikin rencana belajar course daring untuk pekan depan",TrainMaths
2020-06-28 06:27:05+00:00,1277126353050046464,"Belajar lewat daring masih berlangsung sampai bulan desember nih, mungkin beberapa siswa akan kesulitan buat mengikuti pelajaran?
Orang tua juga mengaharapkan target untuk anaknya?
Bimbel klasikal masih sulit… https://t.co/ZlBf4m5qSz",CermatJ
2020-06-28 05:58:22+00:00,1277119129971855361,"@collegemenfess Dari awal daring ada satu dosen yang udah sepuh dan dia gaptek kita sama sekali ga belajar mk dia dan selama ini cuma absen aja yang penting, kemrn pas UAS pun gform nya error akhirnya via word dan kirim lewat WA 😭😭😭",hehsini
2020-06-28 05:39:32+00:00,1277114389750059008,Keuntungan Belajar secara Daring di Situs Belajar Online https://t.co/4GjWRWHRCn https://t.co/TnhMOGEIy3,alineasatucom
2020-06-28 03:48:02+00:00,1277086330539765760,@collegemenfess Minat belajar pada pembelajaran daring,HolanggKayaa
2020-06-28 03:29:15+00:00,1277081599893360645,"Karna belajar online/ daring, orang tua mati2an kerja keras untuk belin hp buat anak biar bisa belajar 😭. Sayang banget buat mereka ❤️",Mrspatricia8
2020-06-28 02:05:10+00:00,1277060441257185285,Pandemi Covid-19 memberikan pengaruh terhadap dunia pendidikan. Simak tiga cerita hasil kiriman peserta tentang lika-liku pembelajaran via daring di #MELIHATINDONESIAMETROTV #MerekamDariRumah #SalingMenjaga “Belajar Dalam Pandemi” hari Minggu (28/6) pukul 10.30 WIB di Metro TV. https://t.co/akv3HhERC6,eagle_awards
2020-06-28 01:37:35+00:00,1277053500426346499,"Kami ucapkan selamat dan semangat mengikuti ujian PMB Sabilussalam gelombang I! Tahun ini edisi spesial karena tes-nya daring

Alhamdulillah tidak mengurangi semangat kita semua untuk belajar dan berproses yaa :) https://t.co/PgbfCFx62o",sabilussalam94
2020-06-28 01:18:45+00:00,1277048758656626688,"Menghadapi belajar daring, sekolah banyak yang tdk Siap infrastruktur. Solusinya manfaatkan yang ada. Dalam workshop ini guru menggunakan HP. Kami menyumbang tripod, mikrophone clip on, green screen, dan lampu LED kepada Sekolah untuk kelengkapan produksi https://t.co/Akh0IYsl4f",fajarjun
2020-06-28 00:12:05+00:00,1277031983240015873,"Riwa riwi dijalan raya gerombolan. Apa nggak lebih aman kalo mereka sekolah? Mereka itu bingung mau ngapain! Sekolah daring udah kelamaan! Kalo di sekolah minimal mereka fokus belajar, biar gak tambah geblek! Klo pengen pake protokol ya maskeran dulu sekolahnya.",Miembaroroh
2020-06-27 23:53:28+00:00,1277027298051371008,"Belajar Daring Tidak Efektif, Indonesia Darurat Pendidikan https://t.co/EfiBSpB8EO",publicanews
2020-06-27 17:05:21+00:00,1276924590279671808,"Aku paham banyak yang ngotot untuk sekolah dengan dalih sudah ada daring, ya monggo. Kalau aku ya biar belajar di rumah. Homeschooling dulu, hunting materi. Bisa lewat grup dalam dan luar negeri.",nink079
2020-06-27 17:03:32+00:00,1276924134639857670,Mendekor Ruang Belajar untuk Meningkatkan Semangat pada Saat Pembelajaran Daring di Masa Pandemi https://t.co/ob1JH1Szss,kompasiana
2020-06-27 16:58:02+00:00,1276922752570552320,"Model begini ga kepake buat ortu anak tuna rungu. Kalaupun daring, sebenernya yang dipeerlukan itu adalah modul bagaimana handle anak. Bukan materi belajar anak.",nink079
2020-06-27 13:54:59+00:00,1276876684298346501,@Bihepiiiii belajar lewat daring ya kak😂,ossymilania
2020-06-27 13:44:06+00:00,1276873944625106945,"Kecuali Rohil, Proses Belajar Mengajar di Riau Selama Covid-19 Tetap Sistem Daring https://t.co/zvNEFPem16 https://t.co/ARZtrLQlg3",zulfikrivokal
2020-06-27 13:44:05+00:00,1276873942704123904,"Kecuali Rohil, Proses Belajar Mengajar di Riau Selama Covid-19 Tetap Sistem Daring https://t.co/L9oroz3xqY https://t.co/yXBiy721wV",harzulaparfume
